ID,Species,Site,Femur_mm,ClutchSize,EggMass,NOvarioles,NFunctOvarioles,PropFunctOvarioles,Elevation_m,logEggs,ClutchMass_g
RF4,A. clavatus,RedFox,12.32,,,6,4,0.67,1577,,
RF7,A. clavatus,RedFox,11.71,,,6,4,0.67,1577,,
RF8,A. clavatus,RedFox,12.62,3,0.0051,6,4,0.67,1577,1.098612289,0.0153
RF9,A. clavatus,RedFox,11.54,6,0.00525,6,4,0.67,1577,1.791759469,0.0315
RF11,A. clavatus,RedFox,12.77,5,0.00485,6,4,0.67,1577,1.609437912,0.02425
RF12,A. clavatus,RedFox,12.73,4,0.0055,6,4,0.67,1577,1.386294361,0.022
RF13,A. clavatus,RedFox,12.2,4,0.00473,6,4,0.67,1577,1.386294361,0.0189
RF14,A. clavatus,RedFox,11.84,4,0.00427,6,4,0.67,1577,1.386294361,0.01706
RF15,A. clavatus,RedFox,11.9,,,6,4,0.67,1577,,
RF16,A. clavatus,RedFox,12.2,,,6,4,0.67,1577,,
RF17,A. clavatus,RedFox,,,,6,4,0.67,1577,,
RF19,A. clavatus,RedFox,12.11,,,6,4,0.67,1577,,
RF21,A. clavatus,RedFox,,,,6,4,0.67,1577,,
RF22,A. clavatus,RedFox,,,,6,4,0.67,1577,,
RF23,A. clavatus,RedFox,12.02,,,6,4,0.67,1577,,
RF25,A. clavatus,RedFox,12.29,4,0.0054,6,4,0.67,1577,1.386294361,0.0216
RF27,A. clavatus,RedFox,11.51,,,6,4,0.67,1577,,
RF28,A. clavatus,RedFox,12.01,8,0.00519,6,4,0.67,1577,2.079441542,0.0414856
RF22 6/05,A. clavatus,RedFox,12.78,3,0.00283,,,,1577,1.098612289,0.008499999
RF31 6-8,A. clavatus,RedFox,12.63,4,0.00265,,,,1577,1.386294361,0.0106
RF3 6-8,A. clavatus,RedFox,12.3,4,0.0026,,,,1577,1.386294361,0.0104
RF17 6-8,A. clavatus,RedFox,12.13,4,0.0032,,,,1577,1.386294361,0.0128
RF8 6-8,A. clavatus,RedFox,12.27,4,0.0037,,,,1577,1.386294361,0.0148
RF32 6/08,A. clavatus,RedFox,12.59,4,0.00253,,,,1577,1.386294361,0.0101
RF33,A. clavatus,RedFox,12.63,4,0.00265,,,,1577,1.386294361,0.0106
RF16 6-11,A. clavatus,RedFox,12.46,4,0.00208,,,,1577,1.386294361,0.0083
RF12 6-8,A. clavatus,RedFox,12.25,3,0.00267,,,,1577,1.098612289,0.008000001
RF11 6-11,A. clavatus,RedFox,12.06,4,0.00258,,,,1577,1.386294361,0.0103
RF1,A. clavatus,RedFox,11.47,4,0.00465,,,,1577,1.386294361,0.01859
RF2,A. clavatus,RedFox,12.05,4,0.00359,,,,1577,1.386294361,0.01437
RF24,A. clavatus,RedFox,12.26,,,,,,1577,,
A4 6/18,M. boulderensis,A1,13.13,13,0.00802,14,14,1,2195,2.564949357,0.104200005
A20 6-13,M. boulderensis,A1,13.18,13,0.00682,14,14,1,2195,2.564949357,0.088700001
A18 6-13,M. boulderensis,A1,13.26,14,0.00678,14,14,1,2195,2.63905733,0.094899994
A14 6-13,M. boulderensis,A1,13.46,16,0.00767,16,16,1,2195,2.772588722,0.1227
A11 6-13,M. boulderensis,A1,13.18,,0.00681,14,14,1,2195,,
A3,M. boulderensis,A1,13.04,14,0.00852,14,14,1,2195,2.63905733,0.119240002
A5,M. boulderensis,A1,12.78,14,0.00639,14,14,1,2195,2.63905733,0.089492312
A6,M. boulderensis,A1,13.1,13,0.00786,13,13,1,2195,2.564949357,0.102199994
A7,M. boulderensis,A1,12.57,,,14,14,1,2195,,
A8,M. boulderensis,A1,13.14,15,0.00786,16,16,1,2195,2.708050201,0.1179
A10,M. boulderensis,A1,12.59,,,13,13,1,2195,,
A11,M. boulderensis,A1,12.76,13,0.00804,15,15,1,2195,2.564949357,0.104500006
A12,M. boulderensis,A1,13.26,13,0.00743,14,14,1,2195,2.564949357,0.096599997
A16,M. boulderensis,A1,13.11,,,14,14,1,2195,,
A17,M. boulderensis,A1,12.73,,,17,16,0.94,2195,,
A3 6/21,M. boulderensis,A1,13.14,12,0.00663,16,15,0.94,2195,2.48490665,0.0795
A10,M. boulderensis,A1,12.83,,,16,15,0.94,2195,,
A15,M. boulderensis,A1,12.73,,,16,15,0.94,2195,,
A2,M. boulderensis,A1,13.26,13,0.00703,14,13,0.93,2195,2.564949357,0.091399997
A12 6-13,M. boulderensis,A1,12.86,15,0.00681,17,15,0.88,2195,2.708050201,0.102100005
A1,M. boulderensis,A1,12.54,13,0.00691,14,12,0.86,2195,2.564949357,0.089799996
A4,M. boulderensis,A1,12.12,,,14,12,0.86,2195,,
A3 6-13,M. boulderensis,A1,13.29,,,16,12,0.75,2195,,
A23 6-13,M. boulderensis,A1,,11,0.00705,14,9,0.64,2195,2.397895273,0.077599995
A21 6-13,M. boulderensis,A1,12.24,,,15,9,0.6,2195,,
